r_wrist_y_range,l_wrist_y_range,chin_y_range,hip_y_range,neck_hip_angle_mean,neck_forward_shift,frames,r_elbow_shoulder_dx_mean,l_elbow_shoulder_dx_mean,r_elbow_range,l_elbow_range,label
34.0,33.0,9.0,15.5,0.5408295760202829,0.7162162162162162,37,40.86486486486486,34.2972972972973,104.7984108696579,70.00531200869978,no_chin_lift
49.0,44.0,43.0,26.5,0.8039030462845309,0.0,48,62.791666666666664,72.02083333333333,103.24355770987947,69.58783821576063,correct
40.0,51.0,48.0,23.0,1.7506336953394526,5.6022727272727275,44,65.1590909090909,72.04545454545455,88.94217579830789,59.78273138618952,correct
39.0,61.0,66.0,12.5,0.9432538971002326,1.6071428571428572,42,74.16666666666667,80.4047619047619,131.94838838555935,119.63365224744294,correct
14.0,14.0,29.0,11.5,3.7777915697105016,-10.916666666666666,36,78.36111111111111,77.69444444444444,25.17359383303554,66.49876094192743,correct
14.0,18.0,24.0,11.5,4.414731429087371,-13.102564102564102,39,71.43589743589743,70.41025641025641,46.975848687652245,157.98930299854663,correct
9.0,15.0,30.0,12.5,4.046059444294607,-11.676470588235293,34,69.26470588235294,69.44117647058823,30.85334075748048,80.18176454476418,correct
16.0,9.0,27.0,7.0,3.509541494362171,-0.5625,24,69.54166666666667,66.75,37.69197634978789,107.10757340649728,correct
66.0,55.0,33.0,46.5,3.6621934374003478,-10.853658536585366,41,32.707317073170735,40.926829268292686,136.74291898233807,161.1604027494747,shoulder_shrugging
24.0,37.0,30.0,40.0,3.2665523618967436,-9.782051282051283,39,40.205128205128204,41.35897435897436,117.37702243263755,138.19636290276873,shoulder_shrugging
21.0,42.0,28.0,29.0,2.8221470728181575,-8.340425531914894,47,35.297872340425535,39.170212765957444,130.25313852640159,119.28566846432156,shoulder_shrugging
26.0,38.0,30.0,35.5,1.7321338872048295,-4.560975609756097,41,38.51219512195122,41.853658536585364,121.63679075788261,158.1541050795932,shoulder_shrugging
27.0,44.0,23.0,38.5,3.137767240990583,-6.202702702702703,37,39.567567567567565,41.13513513513514,135.03994481883083,151.8827916254146,shoulder_shrugging
40.0,51.0,48.0,23.0,1.7506336953394526,5.6022727272727275,44,65.1590909090909,72.04545454545455,88.94217579830789,59.78273138618952,correct
39.0,61.0,66.0,12.5,0.9432538971002326,1.6071428571428572,42,74.16666666666667,80.4047619047619,131.94838838555935,119.63365224744294,correct
14.0,14.0,29.0,11.5,3.7777915697105016,-10.916666666666666,36,78.36111111111111,77.69444444444444,25.17359383303554,66.49876094192743,correct
14.0,18.0,24.0,11.5,4.414731429087371,-13.102564102564102,39,71.43589743589743,70.41025641025641,46.975848687652245,157.98930299854663,correct
9.0,15.0,30.0,12.5,4.046059444294607,-11.676470588235293,34,69.26470588235294,69.44117647058823,30.85334075748048,80.18176454476418,correct
16.0,9.0,27.0,7.0,3.509541494362171,-0.5625,24,69.54166666666667,66.75,37.69197634978789,107.10757340649728,correct
18.0,19.0,8.0,21.0,3.6139169135093967,-10.660714285714286,28,68.64285714285714,73.46428571428571,110.40703433235282,148.52449501469056,no_chin_lift
23.0,28.0,10.0,24.5,5.003447025766629,-14.241379310344827,29,57.724137931034484,61.93103448275862,155.27785999011138,146.7961569551911,no_chin_lift
80.0,76.0,14.0,27.5,4.756934762587367,-13.484375,32,51.5,53.5,140.97541041241448,151.72258575752122,no_chin_lift
26.0,32.0,6.0,25.0,4.4425428920988175,-12.913793103448276,29,55.89655172413793,59.41379310344828,148.85868397561515,153.10565993347637,no_chin_lift
34.0,44.0,12.0,24.0,2.9024447251015193,-7.266666666666667,30,51.86666666666667,53.733333333333334,106.58538517197586,154.22118381421848,no_chin_lift
7.0,19.0,28.0,7.5,2.1223882473309486,-6.771428571428571,35,83.85714285714286,78.42857142857143,14.199789216865636,11.64665899480606,correct
11.0,15.0,20.0,9.0,2.8501172106027606,-9.293103448275861,29,90.72413793103448,85.6896551724138,9.547613720454164,10.670012377676308,correct
9.0,15.0,28.0,9.0,2.6887110645728907,-8.797872340425531,47,89.87234042553192,82.55319148936171,10.504383846928407,11.987579697723817,correct
8.0,15.0,19.0,6.5,4.039591037636102,-13.455882352941176,34,81.70588235294117,77.97058823529412,11.239174457786925,19.15683394366498,correct
10.0,10.0,19.0,7.0,2.8478908397283296,-9.464285714285714,28,87.67857142857143,82.82142857142857,11.866288782799119,11.972022051012997,correct
13.0,7.0,20.0,7.5,3.214359353987779,-10.583333333333334,36,90.47222222222223,82.83333333333333,8.526847646308509,11.532394993046562,correct
5.0,16.0,28.0,11.0,0.77438825895853,-1.2777777777777777,18,81.55555555555556,72.0,9.788135597801208,11.224100299839714,correct
10.0,17.0,4.0,11.0,1.679623478625105,-5.3076923076923075,26,86.96153846153847,81.92307692307692,8.715473044337463,26.128799216296905,no_chin_lift
11.0,13.0,9.0,10.5,1.6875122368117426,-5.25,24,90.0,81.54166666666667,8.597920591978625,32.08992319271863,no_chin_lift
13.0,14.0,3.0,10.0,2.2259244991225002,-6.978260869565218,23,87.34782608695652,86.65217391304348,10.23960265145222,9.330762744684465,no_chin_lift
24.0,21.0,7.0,8.0,2.9657464433220126,-9.409090909090908,22,80.36363636363636,78.77272727272727,29.52667092567297,9.81110004113893,no_chin_lift
10.0,14.0,7.0,10.0,4.234233229489548,-13.394736842105264,19,77.26315789473684,73.47368421052632,21.70340840216391,29.55826494234758,no_chin_lift
13.0,14.0,4.0,9.5,1.9069082981957894,-6.125,20,79.65,81.1,19.456609508469008,14.081345485174971,no_chin_lift
10.0,19.0,8.0,11.5,2.2925742290295448,-7.3,15,82.33333333333333,76.73333333333333,10.274438188884396,43.999544520797315,no_chin_lift
28.0,39.0,24.0,9.0,2.521777034531981,-8.18,25,42.56,57.96,17.20443032379748,25.505053019381418,shoulder_shrugging
19.0,14.0,22.0,11.0,1.305860781415044,-4.282608695652174,23,34.73913043478261,40.130434782608695,28.930010680394894,39.786716754144415,shoulder_shrugging
17.0,12.0,23.0,6.5,1.0113378580000734,-3.34,25,44.28,44.36,22.183355239909265,125.35393383790452,shoulder_shrugging
16.0,16.0,36.0,12.5,2.756132773305897,-8.894736842105264,19,38.36842105263158,42.31578947368421,11.836573196775348,150.27403906729975,shoulder_shrugging
16.0,12.0,20.0,16.5,2.065633547370097,-6.809523809523809,21,42.476190476190474,41.80952380952381,153.04594267493476,129.04314636432449,shoulder_shrugging
13.0,11.0,21.0,16.5,2.752901347643873,-8.80952380952381,21,42.285714285714285,41.142857142857146,105.51929890400379,119.76669245853108,shoulder_shrugging
12.0,14.0,22.0,13.0,2.4061056887526515,-7.75,22,51.86363636363637,50.72727272727273,74.74801382169991,109.91516996645825,shoulder_shrugging
14.0,21.0,32.0,17.0,4.260160937382904,-13.475,20,38.8,42.8,149.0160647180338,132.1573407567041,shoulder_shrugging
18.0,19.0,8.0,21.0,3.6139169135093967,-10.660714285714286,28,68.64285714285714,73.46428571428571,110.40703433235282,148.52449501469056,no_chin_lift
23.0,28.0,10.0,24.5,5.003447025766629,-14.241379310344827,29,57.724137931034484,61.93103448275862,155.27785999011138,146.7961569551911,no_chin_lift
80.0,76.0,14.0,27.5,4.756934762587367,-13.484375,32,51.5,53.5,140.97541041241448,151.72258575752122,no_chin_lift
26.0,32.0,6.0,25.0,4.4425428920988175,-12.913793103448276,29,55.89655172413793,59.41379310344828,148.85868397561515,153.10565993347637,no_chin_lift
34.0,44.0,12.0,24.0,2.9024447251015193,-7.266666666666667,30,51.86666666666667,53.733333333333334,106.58538517197586,154.22118381421848,no_chin_lift
40.0,51.0,48.0,23.0,1.7506336953394526,5.6022727272727275,44,65.1590909090909,72.04545454545455,88.94217579830789,59.78273138618952,correct
39.0,61.0,66.0,12.5,0.9432538971002326,1.6071428571428572,42,74.16666666666667,80.4047619047619,131.94838838555935,119.63365224744294,correct
14.0,14.0,29.0,11.5,3.7777915697105016,-10.916666666666666,36,78.36111111111111,77.69444444444444,25.17359383303554,66.49876094192743,correct
14.0,18.0,24.0,11.5,4.414731429087371,-13.102564102564102,39,71.43589743589743,70.41025641025641,46.975848687652245,157.98930299854663,correct
9.0,15.0,30.0,12.5,4.046059444294607,-11.676470588235293,34,69.26470588235294,69.44117647058823,30.85334075748048,80.18176454476418,correct
16.0,9.0,27.0,7.0,3.509541494362171,-0.5625,24,69.54166666666667,66.75,37.69197634978789,107.10757340649728,correct
22.0,20.0,4.0,7.5,2.005420126597258,7.25,4,72.5,63.0,16.289306709733708,11.594971821267862,NA
57.0,50.0,12.0,20.5,1.5065973758946052,5.222222222222222,9,54.333333333333336,56.111111111111114,90.62017782762764,65.0367246831948,NA
31.0,34.0,30.0,15.0,1.3686244944664754,4.5,7,66.28571428571429,64.14285714285714,75.26996506548893,51.297461580485084,NA
129.0,119.0,20.0,36.5,1.5260860495224533,3.923076923076923,13,54.92307692307692,53.69230769230769,163.9930451662875,149.1112031122563,NA
72.0,75.0,22.0,39.5,1.5257689314315313,-0.5,8,73.625,72.0,77.85841361336989,70.27107093832139,NA
65.0,62.0,18.0,38.5,3.2569931475492413,9.666666666666666,9,68.88888888888889,52.111111111111114,84.05312719422227,60.87710306290395,NA
21.0,42.0,47.0,29.5,2.1102419331856184,-1.0,5,83.6,78.0,44.981738209425295,86.95663943364193,NA
45.0,54.0,40.0,36.0,1.1797596867628908,-0.9375,8,82.75,69.625,75.51709253338873,58.72663298529579,NA
59.0,44.0,9.0,24.5,1.4785282938878843,1.1428571428571428,7,57.142857142857146,41.142857142857146,57.891621871355596,36.77072775939486,NA
68.0,66.0,24.0,17.5,1.0789334303891032,1.125,8,71.125,57.25,90.72202616162824,83.28798025768506,NA
76.0,74.0,24.0,40.5,2.1415725891519006,-0.8125,8,88.375,79.375,91.35490641317212,72.64255082745133,NA
64.0,49.0,18.0,31.5,1.0676181909596085,1.0,8,74.375,58.0,66.74970663732539,55.06621601599933,NA
22.0,30.0,9.0,34.0,2.353353014141197,9.944444444444445,9,58.666666666666664,63.333333333333336,88.92641976304999,72.0283176187648,NA
27.0,30.0,10.0,43.5,1.9658314659510543,8.444444444444445,9,69.88888888888889,72.55555555555556,122.69576270541415,63.02196137875318,NA
21.0,29.0,8.0,15.0,2.2907257842437296,10.0,8,69.25,73.75,114.91211720858631,144.64752803915522,NA
28.0,45.0,40.0,23.5,2.102469344490439,9.55,10,71.0,70.6,82.68408281393965,55.449470879730946,NA
24.0,36.0,46.0,23.0,2.180630929258242,9.055555555555555,9,68.77777777777777,67.0,68.60592481648858,58.28431674675798,NA
29.0,29.0,45.0,10.5,1.7312226272952969,7.8,10,69.1,70.8,70.41505252220715,46.11505993509835,NA
26.0,30.0,33.0,19.0,1.2686956603466835,4.818181818181818,11,65.27272727272727,66.54545454545455,75.24752211573131,50.58937708565543,NA
35.0,52.0,49.0,15.0,3.092274729295165,13.8,10,69.0,66.7,64.14125230316958,82.46096806364777,NA
28.0,18.0,39.0,37.5,1.8321683477201829,6.388888888888889,9,88.22222222222223,90.88888888888889,124.6192871470478,155.46362369769037,NA
25.0,28.0,8.0,14.5,2.189279597511643,9.875,4,73.75,79.5,68.72607741235338,70.1032525126756,NA
28.0,28.0,8.0,26.0,1.5925252297992307,6.7,5,92.0,83.8,72.07267811915187,53.1797335184508,NA
66.0,75.0,28.0,60.5,0.5118908710643724,0.13636363636363635,11,23.272727272727273,14.818181818181818,30.525397352758972,26.610125171105608,NA
32.0,34.0,22.0,35.5,0.859496489668148,0.5,12,64.75,66.41666666666667,132.57767721238963,94.77151531296511,NA
26.0,26.0,27.0,36.0,1.7103665773173384,-4.318181818181818,11,71.45454545454545,68.63636363636364,128.03131039848105,108.96354472089975,NA
24.0,29.0,20.0,43.0,1.2591380416670936,-3.9166666666666665,12,57.833333333333336,58.916666666666664,138.0797306124631,147.56611797022975,NA
17.0,29.0,17.0,33.5,1.5427141397171378,-3.1818181818181817,11,76.9090909090909,69.27272727272727,26.15960681969459,80.13281784140615,NA
17.0,25.0,18.0,31.0,1.216078997336938,-2.4545454545454546,11,73.27272727272727,78.36363636363636,91.59615174994501,118.56369185911345,NA
34.0,49.0,24.0,17.5,1.5478165969332855,2.5454545454545454,11,68.27272727272727,63.72727272727273,71.01049557943261,90.93067572196733,NA
35.0,25.0,14.0,21.5,1.1079580197972028,2.4545454545454546,11,35.72727272727273,38.18181818181818,72.87817754893784,70.16063611433462,NA
